Index,Force [ kN ],Déplacement [ mm ]
140,0.114165015518665,-0.0912203639745712
141,0.115336775779724,-0.0886148288846016
142,0.116362057626247,-0.0853712037205696
143,0.116996765136719,-0.0887211784720421
144,0.117598913609982,-0.0847862884402275
145,0.118412636220455,-0.0832176432013512
146,0.119519293308258,-0.0781660974025726
147,0.120593406260014,-0.0768367424607277
148,0.121228113770485,-0.0783256217837334
149,0.121748894453049,-0.0722903460264206
150,0.122432418167591,-0.0721839964389801
151,0.123360060155392,-0.0710673406720161
152,0.124596916139126,-0.0650320649147034
153,0.12554082274437,-0.0661221370100975
154,0.126077890396118,-0.0621606558561325
155,0.126696318387985,-0.0621606558561325
156,0.127526313066483,-0.0603793226182461
157,0.128632962703705,-0.0566305406391621
158,0.129690811038017,-0.0553809441626072
159,0.130309239029884,-0.0509674847126007
