S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
491.0;4.9100390399999;0.506803452968597;0.0610000006854534;0.535314440727234;200.0;100.0;0.0;3.80167625844479;0.533930957317352
501.0;5.01006335999955;0.514992237091064;0.063900001347065;0.543649733066559;200.0;100.0;0.0;2.65104435384274;0.542263448238373
511.0;5.11008768000011;0.523579895496368;0.0674000009894371;0.551985085010529;200.0;100.0;0.0;2.85269170999527;0.550400674343109
521.0;5.21011199999975;0.536155581474304;0.0706999972462654;0.560320436954498;200.0;100.0;0.0;7.16709941625595;0.558375120162964
531.0;5.31001344000015;0.542137682437897;0.0744000002741814;0.568645536899567;200.0;100.0;0.0;8.75810831785202;0.566707670688629
541.0;5.4100377599998;0.553809463977814;0.0780000016093254;0.576980888843536;200.0;100.0;0.0;9.60520952939987;0.575105249881744
551.0;5.51006207999944;0.562024831771851;0.0816000029444695;0.585316181182861;200.0;100.0;0.0;9.68838185071945;0.583584189414978
561.0;5.6100864;0.568166494369507;0.0847000032663345;0.593651533126831;200.0;100.0;0.0;7.92857781052589;0.592193365097046
571.0;5.71011071999965;0.579917967319489;0.0882000029087067;0.601986885070801;200.0;100.0;0.0;5.20834736526012;0.60054212808609
581.0;5.81001216000004;0.587335765361786;0.0908999964594841;0.610311985015869;200.0;100.0;0.0;3.22061479091644;0.608874678611755
591.0;5.91003647999969;0.596295654773712;0.094200000166893;0.618647277355194;200.0;100.0;0.0;2.6724049821496;0.617109477519989
601.0;6.01006080000025;0.604590833187103;0.0979999974370003;0.626982629299164;200.0;100.0;0.0;6.53906390070915;0.625083982944489
611.0;6.11008511999989;0.613417744636536;0.101400002837181;0.635317981243134;200.0;100.0;0.0;9.51977968215942;0.633318841457367
621.0;6.21010943999954;0.622297823429108;0.105400003492832;0.643653273582459;200.0;100.0;0.0;10.0532621145248;0.641781508922577
631.0;6.31001087999994;0.63388979434967;0.108499996364117;0.651978373527527;200.0;100.0;0.0;10.5755664408207;0.650227963924408
641.0;6.41003519999958;0.642105221748352;0.112099997699261;0.660313725471497;200.0;100.0;0.0;8.13905224204063;0.658820807933807
651.0;6.51005952000014;0.652474224567413;0.115199998021126;0.668649077415466;200.0;100.0;0.0;5.79352043569088;0.667120754718781
661.0;6.61008383999979;0.659865438938141;0.118600003421307;0.676984369754791;200.0;100.0;0.0;4.01214770972729;0.675502121448517
671.0;6.71010815999944;0.669489920139313;0.121899999678135;0.685319721698761;200.0;100.0;0.0;4.88175414502621;0.68355792760849
681.0;6.81000959999983;0.678768873214722;0.125200003385544;0.693644821643829;200.0;100.0;0.0;9.06840190291405;0.691581249237061
691.0;6.91003391999948;0.687702119350433;0.128700003027916;0.701980173587799;200.0;100.0;0.0;9.4044990837574;0.700076460838318
701.0;7.01005824000003;0.694322288036346;0.132200002670288;0.710315525531769;200.0;100.0;0.0;10.8023211359978;0.708441495895386
711.0;7.11008255999968;0.703122615814209;0.135399997234344;0.718650817871094;200.0;100.0;0.0;10.8271829783916;0.716936767101288
721.0;7.21010688000024;0.711816608905792;0.13850000500679;0.726986169815063;200.0;100.0;0.0;9.11873951554298;0.725578486919403
731.0;7.31000831999972;0.717586040496826;0.140900000929832;0.735311269760132;200.0;100.0;0.0;6.12652823328972;0.733992338180542
741.0;7.41003264000028;0.728858947753906;0.144199997186661;0.743646621704102;200.0;100.0;0.0;3.56164947152138;0.742422521114349
751.0;7.51005695999993;0.734973967075348;0.146799996495247;0.751981914043427;200.0;100.0;0.0;2.03792843967676;0.750722467899323
761.0;7.61008127999958;0.74590128660202;0.149800002574921;0.760317265987396;200.0;100.0;0.0;6.27508535981178;0.758517861366272
771.0;7.71010560000013;0.753292500972748;0.153400003910065;0.768652617931366;200.0;100.0;0.0;7.97869339585304;0.766801595687866
781.0;7.81000703999962;0.761614263057709;0.156599998474121;0.776977717876434;200.0;100.0;0.0;9.24808606505394;0.775166630744934
791.0;7.91003136000018;0.77200984954834;0.160099998116493;0.785313010215759;200.0;100.0;0.0;9.29350033402443;0.783694386482239
801.0;8.01005567999982;0.777832388877869;0.163100004196167;0.793648362159729;200.0;100.0;0.0;7.58004635572433;0.792271018028259
811.0;8.11007999999947;0.786499798297882;0.165999993681908;0.801983714103699;200.0;100.0;0.0;4.68146987259388;0.800619781017303
821.0;8.21010432000003;0.799341380596161;0.168999999761581;0.810319066047668;200.0;100.0;0.0;2.85857692360878;0.808919727802277
831.0;8.31000575999951;0.804844915866852;0.171800002455711;0.818644106388092;200.0;100.0;0.0;2.94326767325401;0.81708949804306
841.0;8.41003008000007;0.813778162002563;0.17509999871254;0.826979458332062;200.0;100.0;0.0;7.62748420238495;0.82499885559082
851.0;8.51005439999972;0.823881268501282;0.178299993276596;0.835314810276031;200.0;100.0;0.0;9.01733785867691;0.833363950252533
861.0;8.61007872000027;0.831086397171021;0.1824000030756;0.843650162220001;200.0;100.0;0.0;9.72436591982841;0.841794073581696
871.0;8.71010303999992;0.84246563911438;0.185599997639656;0.851985454559326;200.0;100.0;0.0;9.9764384329319;0.850256741046906
881.0;8.81000447999941;0.850681066513062;0.188899993896484;0.860310554504395;200.0;100.0;0.0;8.16147550940514;0.85884964466095
891.0;8.91002879999996;0.859295308589935;0.192200005054474;0.868645906448364;200.0;100.0;0.0;5.78207150101662;0.867198407649994
901.0;9.01005311999961;0.86852103471756;0.195199996232986;0.876981258392334;200.0;100.0;0.0;3.39122526347637;0.875384449958801
911.0;9.11007744000017;0.873572587966919;0.198899999260902;0.885316550731659;200.0;100.0;0.0;4.11051027476788;0.883635580539703
921.0;9.21010175999982;0.880830883979797;0.20270000398159;0.893651902675629;200.0;100.0;0.0;9.57425981760025;0.891496121883392
931.0;9.31000320000021;0.888753831386566;0.20610000193119;0.901977002620697;200.0;100.0;0.0;12.0195582509041;0.899763524532318
941.0;9.41002751999986;0.897527575492859;0.209999993443489;0.910312354564667;200.0;100.0;0.0;12.1389128267765;0.908291339874268
951.0;9.51005183999951;0.908188998699188;0.213100001215935;0.918647646903992;200.0;100.0;0.0;11.3002896308899;0.916819095611572
961.0;9.61007616000006;0.917228579521179;0.216800004243851;0.926982998847961;200.0;100.0;0.0;9.14492830634117;0.925460815429688
971.0;9.71010047999971;0.923848807811737;0.219699993729591;0.935318350791931;200.0;100.0;0.0;5.71898519992828;0.933744490146637
981.0;9.8100019200001;0.934563398361206;0.222900003194809;0.943643450737;200.0;100.0;0.0;4.86565753817558;0.942256033420563
991.0;9.91002623999975;0.94389545917511;0.226400002837181;0.951978802680969;200.0;100.0;0.0;4.96566668152809;0.95044207572937
1001.0;10.0100505599994;0.947670817375183;0.229699999094009;0.960314095020294;200.0;100.0;0.0;7.71252289414406;0.958546698093414
1011.0;10.11007488;0.958704471588135;0.233300000429153;0.968649446964264;200.0;100.0;0.0;10.0754946470261;0.966781556606293
1021.0;10.2100991999996;0.965803265571594;0.236699998378754;0.976984798908234;200.0;100.0;0.0;9.71919670701027;0.975309371948242
1031.0;10.31000064;0.976065874099731;0.239800006151199;0.985309898853302;200.0;100.0;0.0;10.6464669108391;0.983706951141357
1041.0;10.4100249599996;0.985424518585205;0.24269999563694;0.993645191192627;200.0;100.0;0.0;8.90772864222527;0.992332398891449
1051.0;10.5100492800002;0.994171679019928;0.245600000023842;1.0019805431366;200.0;100.0;0.0;6.78685978055;1.00071370601654
1061.0;10.6100735999999;0.997654616832733;0.248500004410744;1.01031589508057;200.0;100.0;0.0;3.88885773718357;1.00911128520966
1071.0;10.7100979199995;1.0102037191391;0.251599997282028;1.01865124702454;200.0;100.0;0.0;2.10204273462296;1.01737868785858
1081.0;10.8101222400001;1.01472353935242;0.254200011491776;1.02698659896851;200.0;100.0;0.0;5.90491555631161;1.02519047260284
1091.0;10.9100236799995;1.0244277715683;0.257400006055832;1.03531169891357;200.0;100.0;0.0;8.64310786128044;1.03342533111572
1101.0;11.0100480000001;1.03176581859589;0.260699987411499;1.04364693164825;200.0;100.0;0.0;9.50056090950966;1.04180657863617
1111.0;11.1100723199997;1.04200184345245;0.263999998569489;1.05198228359222;200.0;100.0;0.0;9.70732867717743;1.0503181219101
1121.0;11.2100966399994;1.05101490020752;0.266699999570847;1.06031763553619;200.0;100.0;0.0;8.45613852143288;1.05887842178345
1131.0;11.3101209599999;1.05697047710419;0.269800007343292;1.06865298748016;200.0;100.0;0.0;4.99368570744991;1.06727612018585
1141.0;11.4100223999994;1.06680762767792;0.272799998521805;1.07697808742523;200.0;100.0;0.0;3.22143845260143;1.07555973529816
1151.0;11.51004672;1.07486355304718;0.275999993085861;1.0853134393692;200.0;100.0;0.0;3.20514589548111;1.08376204967499
1161.0;11.6100710399996;1.0828663110733;0.279500007629395;1.09364879131317;200.0;100.0;0.0;7.27353617548943;1.09170401096344
1171.0;11.7100953600002;1.09158682823181;0.282999992370605;1.10198414325714;200.0;100.0;0.0;8.60366895794868;1.10008525848389
1181.0;11.8101196799998;1.10134434700012;0.286799997091293;1.11031937599182;200.0;100.0;0.0;9.57037210464478;1.10845029354095
1191.0;11.9100211200002;1.10772526264191;0.289900004863739;1.11864447593689;200.0;100.0;0.0;10.120951384306;1.11691308021545
1201.0;12.0100454399999;1.11657869815826;0.293099999427795;1.12697982788086;200.0;100.0;0.0;9.02603343129158;1.12547338008881
1211.0;12.1100697599995;1.1222151517868;0.296200007200241;1.13531517982483;200.0;100.0;0.0;6.08261115849018;1.13378965854645
1221.0;12.2100940800001;1.13218533992767;0.299499988555908;1.1436505317688;200.0;100.0;0.0;4.61925119161606;1.14205706119537
1231.0;12.3101183999997;1.13954997062683;0.302700012922287;1.15198588371277;200.0;100.0;0.0;4.06414493918419;1.15037322044373
1241.0;12.4100198400001;1.14763247966766;0.306800007820129;1.16031098365784;200.0;100.0;0.0;9.34346467256546;1.15820121765137
1251.0;12.5100441599998;1.15619349479675;0.310099989175797;1.16864633560181;200.0;100.0;0.0;10.54412946105;1.16659879684448
1261.0;12.6100684799994;1.16198945045471;0.314099997282028;1.17698156833649;200.0;100.0;0.0;10.9231352806091;1.17509400844574
