S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déplacement[mm]
582;58.20002304;5.117353439;1.689446926
583;58.30004736;5.164678574;1.69066751
584;58.40007168;5.184725285;1.691106915
585;58.500096;5.197141647;1.691464901
586;58.60012032;5.21333313;1.691823006
587;58.70002176;5.229231834;1.692197323
588;58.80004608;5.242631912;1.692587852
589;58.9000704;5.261083603;1.693076134
590;59.00009472;5.293971539;1.6939224
591;59.10011904;5.350283146;1.695370793
592;59.20002048;5.371207237;1.695875287
593;59.3000448;5.385856628;1.696265936
594;59.40006912;5.403031826;1.696705341
595;59.50009344;5.421377182;1.697242379
596;59.60011776;5.450835705;1.697942138
597;59.7000192;5.515681744;1.699569583
598;59.80004352;5.540939331;1.700367093
599;59.90006784;5.560986042;1.700839043
600;60.00009216;5.579968929;1.701376081
601;60.10011648;5.611341953;1.702173471
602;60.20001792;5.682595253;1.70414269
603;60.30004224;5.710033417;1.704891324
604;60.40006656;5.72885704;1.705412149
605;60.50009088;5.757969856;1.706079364
606;60.6001152;5.791309834;1.707104683
607;60.70001664;5.859399796;1.708959937
608;60.80004096;5.885348797;1.709627151
609;60.90006528;5.909941673;1.710359573
610;61.0000896;5.948785305;1.711368561
611;61.10011392;6.02641964;1.713451743
612;61.20001536;6.051757336;1.714167714
613;61.30003968;6.076908588;1.714916348
614;61.400064;6.130056381;1.716381073
615;61.50008832;6.195380688;1.718138695
616;61.60011264;6.220212936;1.718871117
617;61.70001408;6.255042076;1.71984756
618;61.8000384;6.328475952;1.721816778
619;61.90006272;6.367930889;1.722923398
620;62.00008704;6.400393963;1.723851085
621;62.10011136;6.451467991;1.725250602
622;62.2000128;6.528517246;1.727398872
623;62.30003712;6.55717802;1.728245139
624;62.40006144;6.611043453;1.729742408
625;62.50008576;6.67493248;1.73158133
626;62.60011008;6.707023144;1.732443929
627;62.70001152;6.756581306;1.733778477
628;62.80003584;6.836794853;1.736154437
629;62.90006016;6.864711285;1.736984491
630;63.00008448;6.924931049;1.738709569
631;63.1001088;6.997168064;1.74077642
632;63.20001024;7.034894943;1.741850495
633;63.30003456;7.129811287;1.744552135
634;63.40005888;7.16123724;1.745496035
635;63.5000832;7.202872276;1.746716619
636;63.60010752;7.295182705;1.749418139
637;63.70000896;7.328523159;1.750443459
638;63.80003328;7.399909496;1.752526522
639;63.9000576;7.457603455;1.754300475
640;64.00008192;7.507826328;1.755781412
641;64.10010624;7.595085144;1.758417845
642;64.20000768;7.630153656;1.759557128
643;64.300032;7.723793507;1.762372613
644;64.40005632;7.761467457;1.763690829
645;64.50008064;7.841122627;1.766197085
646;64.60010496;7.893259525;1.767938375
647;64.7000064;7.965895653;1.770135522
648;64.80003072;8.029598236;1.772300005
649;64.90005504;8.093407631;1.77431798
650;65.00007936;8.158173561;1.776531339
651;65.10010368;8.216053963;1.778305173
652;65.20000512;8.296772003;1.780957937
653;65.30002944;8.356380463;1.78287828
654;65.40005376;8.431488991;1.785384536
655;65.50007808;8.488704681;1.787256122
656;65.6001024;8.564131737;1.789794922
657;65.70000384;8.623155594;1.79176414
658;65.80002816;8.704538345;1.794449449
659;65.90005248;8.773399353;1.796662807
660;66.0000768;8.838989258;1.798990011
661;66.10010112;8.919282913;1.801577687
662;66.20000256;8.975673676;1.803644538
663;66.30002688;9.071228027;1.806687832
664;66.4000512;9.11451149;1.808429122
665;66.50007552;9.211341858;1.811537623
666;66.60009984;9.251594543;1.813132524
667;66.70000128;9.348052979;1.816403627
668;66.8000256;9.401067734;1.818291426
669;66.90004992;9.485534668;1.821155787
670;67.00007424;9.565455437;1.823906183
671;67.10009856;9.623175621;1.82610321
672;67.2;9.724925041;1.829325557
673;67.30002432;9.763794899;1.831083179
