S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Valeur de consigne[];C_1_Virtual Channel LX[];C_1_Virtual Channel LE[];C_1_Cycles[];C_1_Valeur de commande[%];C_1_Déplacement[mm]
76;7.60000512000033;5.30612182617188;-0.00120000005699694;0.751981914043427;200.0;100.0;0.0;2.03792843967676;0.495344340801239
77;7.70002943999998;5.3420147895813;-0.0020000000949949;0.760317265987396;200.0;100.0;0.0;6.27508535981178;0.502293527126312
78;7.80005376000008;5.40776443481445;-0.000899999984540045;0.768652617931366;200.0;100.0;0.0;7.97869339585304;0.509779751300812
79;7.90007808000018;5.44179582595825;-0.00209999992512167;0.776977717876434;200.0;100.0;0.0;9.24808606505394;0.516452252864838
80;8.00010240000029;5.49882507324219;-0.00150000001303852;0.785313010215759;200.0;100.0;0.0;9.29350033402443;0.52390593290329
81;8.10000384000023;5.55604076385498;-0.00130000000353903;0.793648362159729;200.0;100.0;0.0;7.58004635572433;0.531115531921387
82;8.20002816000033;5.59188032150269;-0.00209999992512167;0.801983714103699;200.0;100.0;0.0;4.68146987259388;0.537918210029602
83;8.30005247999998;5.65933179855347;-0.000600000028498471;0.810319066047668;200.0;100.0;0.0;2.85857692360878;0.545518338680267
84;8.40007680000008;5.69136905670166;-0.0019000000320375;0.818644106388092;200.0;100.0;0.0;2.94326767325401;0.552190840244293
85;8.50010112000018;5.7476806640625;-0.00170000002253801;0.826979458332062;200.0;100.0;0.0;7.62748420238495;0.559498071670532
86;8.60000256000012;5.80295515060425;-0.00109999999403954;0.835314810276031;200.0;100.0;0.0;9.01733785867691;0.566577434539795
87;8.70002688000022;5.84315490722656;-0.00249999994412065;0.843650162220001;200.0;100.0;0.0;9.72436591982841;0.573526620864868
88;8.80005120000033;5.90454435348511;-0.00120000005699694;0.851985454559326;200.0;100.0;0.0;9.9764384329319;0.580866396427155
89;8.90007551999997;5.93591737747192;-0.0020000000949949;0.860310554504395;200.0;100.0;0.0;8.16147550940514;0.587490081787109
90;9.00009984000008;5.99664211273193;-0.00139999995008111;0.868645906448364;200.0;100.0;0.0;5.78207150101662;0.594797313213348
91;9.10000128000002;6.0409893989563;-0.00109999999403954;0.876981258392334;200.0;100.0;0.0;3.39122526347637;0.60158371925354
92;9.20002560000012;6.08860683441162;-0.0019000000320375;0.885316550731659;200.0;100.0;0.0;4.11051027476788;0.608728170394897
93;9.30004992000022;6.15371894836426;-0.000300000014249235;0.893651902675629;200.0;100.0;0.0;9.57425981760025;0.61618185043335
94;9.40007424000032;6.18445348739624;-0.00170000002253801;0.901977002620697;200.0;100.0;0.0;12.0195582509041;0.622903227806091
95;9.50009855999997;6.24778413772583;-0.000899999984540045;0.910312354564667;200.0;100.0;0.0;12.1389128267765;0.63051962852478
96;9.59999999999991;6.29550790786743;-0.000600000028498471;0.918647646903992;200.0;100.0;0.0;11.3002896308899;0.637485086917877
97;9.70002432000001;6.336266040802;-0.00150000001303852;0.926982998847961;200.0;100.0;0.0;9.14492830634117;0.644499361515045
98;9.80004864000011;6.40749263763428;0;0.935318350791931;200.0;100.0;0.0;5.71898519992828;0.652327358722687
99;9.90007296000022;6.44168376922607;-0.000699999975040555;0.943643450737;200.0;100.0;0.0;4.86565753817558;0.659081220626831
100;10.0000972800003;6.49347543716431;-0.00039999998989515;0.951978802680969;200.0;100.0;0.0;4.96566668152809;0.666599988937378
101;10.1001216;6.5618839263916;0.00100000004749745;0.960314095020294;200.0;100.0;0.0;7.71252289414406;0.674314081668854
102;10.2000230399999;6.60104703903198;9.99999974737875E-05;0.968649446964264;200.0;100.0;0.0;10.0754946470261;0.681377172470093
103;10.30004736;6.65065813064575;0.00039999998989515;0.976984798908234;200.0;100.0;0.0;9.71919670701027;0.688602983951569
104;10.4000716800001;6.71289873123169;0.00150000001303852;0.985309898853302;200.0;100.0;0.0;10.6464669108391;0.696056663990021
105;10.5000960000002;6.74445772171021;0.00039999998989515;0.993645191192627;200.0;100.0;0.0;8.90772864222527;0.702664077281952
106;10.6001203200003;6.80877161026001;0.00120000005699694;1.0019805431366;200.0;100.0;0.0;6.78685978055;0.710150361061096
107;10.7000217600003;6.84851932525635;0.00150000001303852;1.01031589508057;200.0;100.0;0.0;3.88885773718357;0.716839134693146
108;10.8000460799999;6.89813089370728;0.00120000005699694;1.01865124702454;200.0;100.0;0.0;2.10204273462296;0.723853409290314
109;10.9000704;6.95912170410156;0.00249999994412065;1.02698659896851;200.0;100.0;0.0;5.90491555631161;0.731111764907837
110;11.0000947200001;6.9932861328125;0.00130000000353903;1.03531169891357;200.0;100.0;0.0;8.64310786128044;0.737784266471863
111;11.1001190400002;7.06142902374268;0.0031999999191612;1.04364693164825;200.0;100.0;0.0;9.50056090950966;0.745270490646362
112;11.2000204800001;7.08990383148193;0.00209999992512167;1.05198228359222;200.0;100.0;0.0;9.70732867717743;0.751682639122009
113;11.3000448000003;7.15900373458862;0.00289999996311963;1.06031763553619;200.0;100.0;0.0;8.45613852143288;0.759185135364532
114;11.4000691199999;7.19718265533447;0.0031999999191612;1.06865298748016;200.0;100.0;0.0;4.99368570744991;0.76577627658844
115;11.50009344;7.24929332733154;0.00270000007003546;1.07697808742523;200.0;100.0;0.0;3.22143845260143;0.773067235946655
116;11.6001177600001;7.30307912826538;0.00419999985024333;1.0853134393692;200.0;100.0;0.0;3.20514589548111;0.779983818531036
117;11.7000192;7.34367752075195;0.00310000008903444;1.09364879131317;200.0;100.0;0.0;7.27353617548943;0.78680282831192
118;11.8000435200001;7.40985298156738;0.00499999988824129;1.10198414325714;200.0;100.0;0.0;8.60366895794868;0.794142603874207
119;11.9000678400002;7.44194364547729;0.00419999985024333;1.11031937599182;200.0;100.0;0.0;9.57037210464478;0.800489604473114
120;12.0000921599999;7.50870370864868;0.00549999997019768;1.11864447593689;200.0;100.0;0.0;10.120951384306;0.807927012443542
121;12.10011648;7.54060840606689;0.00540000014007092;1.12697982788086;200.0;100.0;0.0;9.02603343129158;0.814339101314545
122;12.2000179199999;7.60112047195435;0.00540000014007092;1.13531517982483;200.0;100.0;0.0;6.08261115849018;0.821548700332642
123;12.30004224;7.64286231994629;0.0063999998383224;1.1436505317688;200.0;100.0;0.0;4.61925119161606;0.82818865776062
124;12.4000665600001;7.69433498382568;0.00549999997019768;1.15198588371277;200.0;100.0;0.0;4.06414493918419;0.835137844085693
125;12.5000908800002;7.75809097290039;0.00719999987632036;1.16031098365784;200.0;100.0;0.0;9.34346467256546;0.84241247177124
126;12.6001152000003;7.79074001312256;0.00609999988228083;1.16864633560181;200.0;100.0;0.0;10.54412946105;0.848857164382935
127;12.7000166400003;7.85832405090332;0.00779999978840351;1.17698156833649;200.0;100.0;0.0;10.9231352806091;0.856229484081268
128;12.8000409599999;7.89365863800049;0.00700000021606684;1.18531692028046;200.0;100.0;0.0;10.685571283102;0.862722992897034
129;12.90006528;7.95326662063599;0.00810000021010637;1.19365227222443;200.0;100.0;0.0;9.38283950090408;0.870111525058746
130;13.0000896000001;7.99487543106079;0.0082999998703599;1.20197737216949;200.0;100.0;0.0;6.30828589200974;0.876751482486725
131;13.1001139200002;8.05086803436279;0.00800000037997961;1.21031272411346;200.0;100.0;0.0;3.79771143198013;0.883912265300751
132;13.2000153600002;8.09864521026611;0.00920000020414591;1.21864807605743;200.0;100.0;0.0;3.24977524578571;0.890812575817108
133;13.3000396800003;8.13998794555664;0.00810000021010637;1.2269834280014;200.0;100.0;0.0;7.63206332921982;0.897599041461945
134;13.4000639999999;8.20690822601318;0.00989999994635582;1.23531877994537;200.0;100.0;0.0;9.22901406884193;0.904710948467255
135;13.50008832;8.23838710784912;0.00879999995231628;1.24364376068115;200.0;100.0;0.0;10.2149806916714;0.911123096942902
136;13.6001126400001;8.30862998962402;0.0108000002801418;1.25197911262512;200.0;100.0;0.0;10.3382460772991;0.918479084968567
137;13.7000140800001;8.33558940887451;0.00980000011622906;1.26031446456909;200.0;100.0;0.0;9.25566181540489;0.924549460411072
138;13.8000384000002;8.40753364562988;0.0115999998524785;1.26864981651306;200.0;100.0;0.0;6.40228986740112;0.9319868683815
139;13.9000627200003;8.43497180938721;0.0108000002801418;1.27698516845703;200.0;100.0;0.0;4.13558892905712;0.938057243824005
140;14.0000870399999;8.5037260055542;0.0121999997645617;1.2853102684021;200.0;100.0;0.0;2.81096566468477;0.945494651794434
141;14.10011136;8.5424108505249;0.0119000002741814;1.29364562034607;200.0;100.0;0.0;6.22488856315613;0.951874196529388
142;14.2000128;8.60486316680908;0.0126000000163913;1.30198097229004;200.0;100.0;0.0;9.61459130048752;0.959067523479462
143;14.3000371200001;8.64293575286865;0.0131000000983477;1.31031620502472;200.0;100.0;0.0;9.80919748544693;0.965414524078369
144;14.4000614400002;8.70525646209717;0.0135000003501773;1.31865155696869;200.0;100.0;0.0;9.8984569311142;0.972607791423798
145;14.5000857600003;8.74994945526123;0.0144999995827675;1.32697665691376;200.0;100.0;0.0;8.62054228782654;0.979117572307587
146;14.6001100799999;8.80251216888428;0.0143999997526407;1.33531200885773;200.0;100.0;0.0;5.11507205665112;0.986034214496613
147;14.7000115200003;8.84946441650391;0.016100000590086;1.3436473608017;200.0;100.0;0.0;3.3436194062233;0.992560267448425
148;14.80003584;8.90263938903809;0.0153999999165535;1.35198271274567;200.0;100.0;0.0;3.2160360366106;0.999590814113617
149;14.9000601600001;8.95812606811523;0.0173000004142523;1.36031806468964;200.0;100.0;0.0;7.88886100053787;1.00637722015381
150;15.0000844800002;9.00000095367432;0.0164000000804663;1.3686431646347;200.0;100.0;0.0;9.05041545629501;1.01309859752655
151;15.1001088000003;9.06030082702637;0.0184000004082918;1.37697851657867;200.0;100.0;0.0;10.3551238775253;1.01998257637024
152;15.2000102400002;9.10217475891113;0.0176999997347593;1.38531374931335;200.0;100.0;0.0;10.4890994727612;1.02655744552612
153;15.3000345600003;9.16170406341553;0.0197000000625849;1.39364910125732;200.0;100.0;0.0;9.16228666901588;1.0334415435791
154;15.40005888;9.19961738586426;0.0190999992191792;1.40198445320129;200.0;100.0;0.0;6.483094394207;1.03986990451813
155;15.5000832000001;9.2563009262085;0.0210999995470047;1.41030955314636;200.0;100.0;0.0;4.06148843467236;1.04660761356354
156;15.6001075200002;9.2984676361084;0.0206000003963709;1.41864490509033;200.0;100.0;0.0;3.53797525167465;1.05311727523804
157;15.7000089600001;9.35158920288086;0.0226000007241964;1.4269802570343;200.0;100.0;0.0;8.12656432390213;1.05967593193054
