Index,Déplacement [ mm ],Force [ N ]
293,2.9959433267191,41727.1999999769
294,2.9983183267191,41867.9999999768
295,3.0055683267191,42000.7999999767
296,3.0068183267191,42165.1999999766
297,3.0091933267191,42266.7999999766
298,3.0176933267191,42415.5999999765
299,3.0213183267191,42563.9999999764
300,3.02744332671909,42712.7999999763
301,3.03231832671909,42861.1999999762
302,3.03706832671909,42986.3999999762
303,3.04081832671909,43158.3999999761
304,3.04806832671909,43299.199999976
305,3.05406832671909,43431.9999999759
306,3.05769332671909,43580.7999999758
307,3.06131832671909,43682.3999999758
308,3.0661933267191,43823.1999999757
309,3.0698183267191,43987.5999999756
310,3.0771933267191,44167.1999999755
311,3.0808183267191,44269.1999999755
312,3.0844433267191,44448.7999999754
313,3.0904433267191,44573.9999999753
314,3.09531832671909,44722.7999999752
315,3.09894332671909,44839.9999999751
316,3.10506832671909,44996.3999999751
317,3.10744332671909,45152.799999975
318,3.11594332671909,45348.3999999749
319,3.12081832671909,45457.9999999748
320,3.12319332671909,45614.3999999747
321,3.12681832671909,45762.7999999746
322,3.1329433267191,45927.1999999745
323,3.1401933267191,46067.9999999745
324,3.1425683267191,46193.1999999744
325,3.1486933267191,46349.5999999743
326,3.1535683267191,46497.9999999742
327,3.1583183267191,46701.5999999741
328,3.1631933267191,46826.799999974
329,3.16806832671909,46959.599999974
330,3.17406832671909,47100.3999999739
331,3.18019332671909,47264.7999999738
332,3.18144332671909,47366.3999999737
333,3.18619332671909,47507.1999999737
334,3.19106832671909,47671.1999999736
335,3.1959433267191,47874.7999999735
336,3.2008183267191,47976.3999999734
337,3.2056933267191,48117.1999999733
338,3.2116933267191,48281.5999999732
339,3.2153183267191,48445.5999999731
340,3.2214433267191,48594.3999999731
341,3.22631832671909,48742.799999973
342,3.23231832671909,48899.1999999729
343,3.23719332671909,49063.5999999728
344,3.24081832671909,49204.3999999727
345,3.24569332671909,49384.3999999726
346,3.25294332671909,49540.7999999725
347,3.25656832671909,49689.1999999724
348,3.2626933267191,49829.9999999724
349,3.2663183267191,49994.3999999723
350,3.2699433267191,50111.5999999722
351,3.2723183267191,50267.9999999721
352,3.2795683267191,50432.399999972
353,3.2856933267191,50596.399999972
354,3.2893183267191,50760.7999999719
355,3.2929433267191,50909.5999999718
356,3.2978183267191,51065.9999999717
357,3.3038183267191,51237.9999999716
358,3.30994332671909,51386.3999999715
359,3.31231832671909,51495.9999999714
360,3.31719332671909,51660.3999999714
361,3.32206832671909,51816.7999999713
362,3.32806832671909,51980.7999999712
363,3.3305683267191,52152.7999999711
364,3.3378183267191,52301.599999971
365,3.3438183267191,52442.3999999709
366,3.3474433267191,52590.7999999708
367,3.3535683267191,52715.9999999708
368,3.3571933267191,52911.5999999707
369,3.3595683267191,53044.7999999706
370,3.3656933267191,53263.5999999705
371,3.37294332671909,53388.7999999704
372,3.37544332671909,53553.1999999703
373,3.37906832671909,53701.5999999702
374,3.38631832671909,53865.9999999701
375,3.38994332671909,53983.1999999701
376,3.39594332671909,54201.99999997
377,3.39719332671909,54335.1999999699
378,3.40444332671909,54483.5999999698
379,3.40806832671909,54663.5999999697
380,3.4141933267191,54835.5999999696
381,3.4190683267191,54991.9999999695
382,3.4238183267191,55171.9999999694
383,3.4286933267191,55351.9999999693
384,3.4371933267191,55515.9999999692
385,3.4384433267191,55680.3999999691
386,3.44569332671909,55852.399999969
387,3.44931832671909,56016.7999999689
388,3.45419332671909,56181.1999999689
389,3.45906832671909,56360.7999999688
390,3.46506832671909,56501.5999999687
391,3.46869332671909,56657.9999999686
392,3.4711933267191,56783.1999999685
393,3.4771933267191,56963.1999999684
394,3.4833183267191,57174.3999999683
395,3.4856933267191,57291.5999999682
396,3.4929433267191,57471.5999999681
397,3.4978183267191,57651.599999968
398,3.5026933267191,57823.5999999679
399,3.5063183267191,57979.9999999678
400,3.51119332671909,58167.5999999678
401,3.51719332671909,58339.5999999677
402,3.51844332671909,58480.3999999676
403,3.52819332671909,58660.3999999675
404,3.53056832671909,58887.1999999674
405,3.53544332671909,59012.3999999673
406,3.5403183267191,59192.3999999672
407,3.54506832671909,59379.9999999671
408,3.5499433267191,59559.999999967
409,3.5571933267191,59731.9999999669
410,3.5608183267191,59911.5999999668
411,3.5693183267191,60130.7999999667
412,3.5729433267191,60247.9999999666
413,3.57669332671909,60419.9999999665
414,3.58269332671909,60592.3999999664
415,3.5850683267191,60756.3999999663
416,3.58994332671909,60928.3999999662
417,3.59719332671909,61100.7999999661
418,3.60094332671909,61272.799999966
419,3.60569332671909,61436.7999999659
420,3.61056832671909,61601.1999999658
421,3.6166933267191,61781.1999999658
422,3.6203183267191,61968.7999999656
423,3.6239433267191,62133.1999999656
424,3.6288183267191,62320.7999999655
425,3.6348183267191,62485.1999999654
426,3.6396933267191,62664.7999999653
427,3.6420683267191,62805.5999999652
428,3.64944332671909,63040.3999999651
429,3.65544332671909,63165.599999965
430,3.65906832671909,63368.7999999649
431,3.66269332671909,63548.7999999648
432,3.66994332671909,63728.7999999647
433,3.67481832671909,63892.7999999646
434,3.6809433267191,64064.7999999645
435,3.68569332671909,64244.7999999644
436,3.6881933267191,64416.7999999643
437,3.6941933267191,64604.7999999642
438,3.6990683267191,64799.9999999641
439,3.7051933267191,64972.399999964
440,3.7099433267191,65151.9999999639
441,3.71369332671909,65323.9999999638
442,3.7196933267191,65496.3999999637
443,3.72331832671909,65644.7999999636
444,3.72944332671909,65801.1999999635
445,3.73419332671909,65965.5999999634
446,3.74031832671909,66129.5999999633
447,3.74269332671909,66293.9999999632
448,3.74881832671909,66465.9999999631
449,3.7536933267191,66622.3999999631
450,3.7560683267191,66778.799999963
451,3.7621933267191,66958.7999999629
452,3.7658183267191,67099.5999999628
453,3.7694433267191,67271.5999999627
454,3.7743183267191,67459.5999999626
455,3.7803183267191,67647.1999999625
456,3.7839433267191,67827.1999999624
457,3.79006832671909,67999.1999999623
458,3.79481832671909,68194.7999999622
459,3.79969332671909,68382.3999999621
460,3.80694332671909,68569.999999962
461,3.80944332671909,68741.9999999619
462,3.8179433267191,68921.9999999618
463,3.82031832671909,69093.9999999617
464,3.8275683267191,69273.9999999616
465,3.8300683267191,69461.5999999615
466,3.8360683267191,69657.1999999614
467,3.8409433267191,69837.1999999613
468,3.8458183267191,70001.1999999612
469,3.8494433267191,70149.9999999611
470,3.85431832671909,70329.999999961
471,3.8603183267191,70517.5999999609
472,3.86394332671909,70705.1999999608
473,3.87119332671909,70900.7999999607
474,3.87494332671909,71065.1999999606
475,3.87856832671909,71244.7999999605
476,3.88456832671909,71409.1999999604
477,3.88819332671909,71581.1999999603
