R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0.7,15.5735,0.058225,0.7,29.60523,0.0581875,0.7,41.90127,0.0582,0.7,46.04022,0.05825,0.7,29.38906,0.058225,0.7,36.90084,0.0582125
0.71,15.78967,0.0590625,0.71,29.83729,0.059025,0.71,42.56248,0.05905,0.71,46.74276,0.0590875,0.71,29.90405,0.0590375,0.71,36.71328,0.0590375
0.72,16.00266,0.0599,0.72,30.0916,0.0598875,0.72,43.24913,0.0598875,0.72,47.46755,0.0599125,0.72,30.38406,0.059875,0.72,36.98667,0.059875
0.73,16.21564,0.0607375,0.73,30.38406,0.0607375,0.73,43.94213,0.0607125,0.73,48.20506,0.0607375,0.73,30.82275,0.0607,0.73,37.47622,0.0607125
0.74,16.46678,0.061575,0.74,30.73374,0.061575,0.74,44.61606,0.0615375,0.74,48.95528,0.0615625,0.74,31.24237,0.0615375,0.74,37.94988,0.06155
0.75,16.75606,0.0624125,0.75,31.13747,0.0624,0.75,45.26138,0.0623875,0.75,49.70551,0.0623875,0.75,31.68742,0.0623875,0.75,38.31863,0.0623875
0.76,17.04852,0.06325,0.76,31.55708,0.063225,0.76,45.89717,0.063225,0.76,50.44937,0.063225,0.76,32.1579,0.063225,0.76,38.60156,0.063225
0.77,17.32191,0.0641,0.77,31.9767,0.06405,0.77,46.52977,0.0640625,0.77,51.1678,0.06405,0.77,32.62838,0.064075,0.77,38.87494,0.0640625
0.78,17.59847,0.064925,0.78,32.40903,0.0648875,0.78,47.13376,0.0649,0.78,51.83856,0.0648875,0.78,33.0766,0.0649125,0.78,39.20555,0.0648875
0.79,17.88139,0.0657625,0.79,32.86044,0.065725,0.79,47.7314,0.0657375,0.79,52.50613,0.065725,0.79,33.52165,0.0657375,0.79,39.58702,0.0657125
0.8,18.18975,0.0665875,0.8,33.32456,0.06655,0.8,48.364,0.066575,0.8,53.18642,0.06655,0.8,33.98577,0.06655,0.8,39.98756,0.06655
0.81,18.52353,0.0674,0.81,33.79822,0.0673875,0.81,49.04429,0.0674125,0.81,53.88578,0.0673875,0.81,34.45625,0.0673875,0.81,40.39128,0.067375
0.82,18.8605,0.0682375,0.82,34.26234,0.068225,0.82,49.75637,0.0682375,0.82,54.58514,0.0682125,0.82,34.90448,0.068225,0.82,40.79501,0.0682
0.83,19.16885,0.06905,0.83,34.70421,0.0690625,0.83,50.45891,0.0690625,0.83,55.30357,0.06905,0.83,35.33999,0.0690625,0.83,41.22098,0.0690375
0.84,19.4486,0.069875,0.84,35.12383,0.0699,0.84,51.14238,0.0698875,0.84,56.03154,0.0698625,0.84,35.77868,0.0698875,0.84,41.63424,0.0699
0.85,19.71563,0.0707,0.85,35.55298,0.070725,0.85,51.79723,0.0707125,0.85,56.74998,0.0707,0.85,36.22373,0.070725,0.85,42.0316,0.0707375
0.86,20.00173,0.07155,0.86,36.01074,0.07155,0.86,52.45527,0.071525,0.86,57.47159,0.07153749,0.86,36.67196,0.0715625,0.86,42.40672,0.071575
0.87,20.31008,0.0724,0.87,36.49076,0.0723625,0.87,53.12602,0.0723625,0.87,58.19321,0.0723625,0.87,37.11383,0.0724,0.87,42.79137,0.0724125
0.88,20.62798,0.0732375,0.88,36.98031,0.0731875,0.88,53.80948,0.0731875,0.88,58.90528,0.07319999,0.88,37.54298,0.073225,0.88,43.18555,0.0732375
0.89,20.96176,0.0740875,0.89,37.45715,0.0740125,0.89,54.48977,0.0740375,0.89,59.60782,0.07405,0.89,37.99756,0.07405,0.89,43.60517,0.07405
0.9,21.32734,0.0749125,0.9,37.89584,0.0748375,0.9,55.1637,0.074875,0.9,60.31036,0.0749,0.9,38.49665,0.074875,0.9,44.02478,0.0748875
0.91,21.71516,0.0757375,0.91,38.32499,0.075675,0.91,55.82492,0.075725,0.91,61.01291,0.0757375,0.91,39.03707,0.0757,0.91,44.4444,0.07571249
0.92,22.08392,0.0765625,0.92,38.77958,0.0765125,0.92,56.49249,0.0765625,0.92,61.72498,0.0765625,0.92,39.57748,0.076525,0.92,44.84813,0.07655
0.93,22.4177,0.0774125,0.93,39.25959,0.0773625,0.93,57.16324,0.0773875,0.93,62.44659,0.0774,0.93,40.08929,0.07735,0.93,45.24549,0.07737499
0.94,22.72606,0.07825,0.94,39.72371,0.0782125,0.94,57.84352,0.0782125,0.94,63.16821,0.078225,0.94,40.57884,0.078175,0.94,45.65557,0.078225
0.95,23.05349,0.0790875,0.95,40.16558,0.07905,0.95,58.52063,0.07905,0.95,63.86757,0.07905,0.95,41.07475,0.0790125,0.95,46.09108,0.0790625
0.96,23.4127,0.079925,0.96,40.60427,0.079875,0.96,59.17231,0.0799,0.96,64.52879,0.0799,0.96,41.59927,0.0798625,0.96,46.5552,0.07988749
0.97,23.78146,0.080775,0.97,41.06839,0.0807,0.97,59.8367,0.0807375,0.97,65.17092,0.080725,0.97,42.15876,0.0807125,0.97,47.04475,0.080725
0.98,24.14068,0.0816125,0.98,41.55477,0.08154999,0.98,60.53289,0.081575,0.98,65.79717,0.0815625,0.98,42.73097,0.0815625,0.98,47.52795,0.08154999
0.99,24.49989,0.08244999,0.99,42.0475,0.0823875,0.99,61.24814,0.0824125,0.99,66.41706,0.0824,0.99,43.29045,0.0823875,0.99,48.00797,0.0823625
1,24.86865,0.083275,1,42.53387,0.083225,1,61.9634,0.0832625,1,67.04012,0.0832375,1,43.83723,0.0832,1,48.49434,0.0832
1.01,25.2374,0.0841,1.01,43.00435,0.08406249,1.01,62.65958,0.0840875,1.01,67.6314,0.08406249,1.01,44.36811,0.08405,1.01,48.98389,0.084025
1.02,25.60933,0.0849125,1.02,43.44622,0.0849,1.02,63.33987,0.084925,1.02,68.14639,0.0849125,1.02,44.87674,0.0848875,1.02,49.47345,0.0848625
1.03,25.98763,0.0857375,1.03,43.86584,0.0857375,1.03,64.0138,0.08575,1.03,68.57554,0.0857375,1.03,45.38218,0.08572499,1.03,49.963,0.0857
1.04,26.38817,0.0865625,1.04,44.26956,0.086575,1.04,64.69408,0.086575,1.04,68.96973,0.08655,1.04,45.88763,0.0865625,1.04,50.46527,0.08655
1.05,26.81732,0.0874,1.05,44.686,0.0874125,1.05,65.39663,0.08738749,1.05,69.37663,0.087375,1.05,46.40261,0.0874125,1.05,50.97071,0.0874
1.06,27.26873,0.08825,1.06,45.1088,0.08823749,1.06,66.11506,0.0882125,1.06,69.79307,0.0882,1.06,46.94939,0.08825,1.06,51.47934,0.08823749
1.07,27.72649,0.0891,1.07,45.53477,0.08904999,1.07,66.82714,0.0890375,1.07,70.21586,0.089025,1.07,47.52477,0.089075,1.07,51.97525,0.089075
1.08,28.18108,0.0899375,1.08,45.9671,0.089875,1.08,67.50742,0.0898875,1.08,70.66727,0.0898625,1.08,48.10969,0.0899125,1.08,52.47116,0.08989999
1.09,28.63566,0.090775,1.09,46.42169,0.0907,1.09,68.1591,0.0907375,1.09,71.11549,0.0907125,1.09,48.69779,0.0907375,1.09,52.97025,0.090725
1.1,29.09025,0.0916,1.1,46.89217,0.091525,1.1,68.81078,0.091575,1.1,71.55418,0.09156249,1.1,49.27635,0.09155,1.1,53.4757,0.09156249
1.11,29.55119,0.09241249,1.11,47.34675,0.09235,1.11,69.49743,0.09241249,1.11,71.99606,0.0924,1.11,49.8422,0.092375,1.11,53.99068,0.0924
1.12,30.03438,0.0932375,1.12,47.77591,0.0932,1.12,70.21586,0.09325,1.12,72.46017,0.0932375,1.12,50.39215,0.0932,1.12,54.5152,0.09322499
1.13,30.53983,0.09407499,1.13,48.19552,0.09405,1.13,70.92476,0.0940625,1.13,72.94019,0.09407499,1.13,50.94846,0.094025,1.13,55.03972,0.09407499
1.14,31.05164,0.0949,1.14,48.63103,0.0948875,1.14,71.59551,0.094875,1.14,73.40431,0.0949,1.14,51.51113,0.0948625,1.14,55.55789,0.0949125
1.15,31.55072,0.09573749,1.15,49.10151,0.095725,1.15,72.25672,0.095725,1.15,73.83982,0.095725,1.15,52.05154,0.0957125,1.15,56.05698,0.09573749
1.16,32.06253,0.096575,1.16,49.58471,0.09655,1.16,72.93383,0.09655,1.16,74.26897,0.0965625,1.16,52.5856,0.09655,1.16,56.53064,0.096575
1.17,32.57751,0.0974125,1.17,50.06472,0.097375,1.17,73.62048,0.0973875,1.17,74.70766,0.09739999,1.17,53.13556,0.0973875,1.17,56.98204,0.09739999
1.18,33.0925,0.0982375,1.18,50.56063,0.0982,1.18,74.31348,0.098225,1.18,75.16225,0.0982375,1.18,53.71412,0.098225,1.18,57.43027,0.0982125
