R1B2_1,,,R1B2_2,,,R1B2_3,,,R1R2_1,,,R1R2_2,,,R1R2_3,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
,,,,,,15.63,347.1025,1.302387,,,,,,,15.63,333.5031,1.302375
,,,,,,15.64,347.1534,1.303213,,,,,,,15.64,333.519,1.303225
,,,,,,15.65,347.1788,1.304037,,,,,,,15.65,333.5444,1.304062
,,,,,,15.66,347.2042,1.304862,,,,,,,15.66,333.5635,1.3049
,,,,,,15.67,347.2296,1.3057,,,,,,,15.67,333.5984,1.305725
,,,,,,15.68,347.2392,1.306525,,,,,,,15.68,333.6588,1.306562
,,,,,,15.69,347.2328,1.307375,,,,,,,15.69,333.7351,1.307375
,,,,,,15.7,347.2487,1.308225,,,,,,,15.7,333.8019,1.308213
,,,,,,15.71,347.2932,1.309062,,,,,,,15.71,333.8273,1.309062
,,,,,,15.72,347.3536,1.309887,,,,,,,15.72,333.8114,1.309887
,,,,,,15.73,347.395,1.310725,,,,,,,15.73,333.7797,1.310725
,,,,,,15.74,347.414,1.31155,,,,,,,15.74,333.7606,1.311575
,,,,,,15.75,347.4299,1.3124,,,,,,,15.75,333.7701,1.3124
,,,,,,15.76,347.4617,1.313237,,,,,,,15.76,333.8273,1.31325
,,,,,,15.77,347.5062,1.314075,,,,,,,15.77,333.8909,1.314088
,,,,,,15.78,347.5571,1.314912,,,,,,,15.78,333.9481,1.3149
,,,,,,15.79,347.6016,1.31575,,,,,,,15.79,333.9736,1.315737
,,,,,,15.8,347.6365,1.316587,,,,,,,15.8,333.9895,1.31655
,,,,,,15.81,347.6524,1.317425,,,,,,,15.81,334.0022,1.317375
,,,,,,15.82,347.6588,1.318262,,,,,,,15.82,334.0276,1.318213
,,,,,,15.83,347.6683,1.319088,,,,,,,15.83,334.0435,1.319062
,,,,,,15.84,347.6938,1.3199,,,,,,,15.84,334.0499,1.319912
,,,,,,15.85,347.7287,1.320712,,,,,,,15.85,334.0435,1.320763
,,,,,,15.86,347.7605,1.321537,,,,,,,15.86,334.0594,1.321587
,,,,,,15.87,347.7701,1.322375,,,,,,,15.87,334.1103,1.322425
,,,,,,15.88,347.7701,1.3232,,,,,,,15.88,334.1897,1.32325
,,,,,,15.89,347.7637,1.32405,,,,,,,15.89,334.2597,1.324062
,,,,,,15.9,347.7796,1.3249,,,,,,,15.9,334.2914,1.3249
,,,,,,15.91,347.8209,1.325737,,,,,,,15.91,334.2851,1.325725
,,,,,,15.92,347.8813,1.326563,,,,,,,15.92,334.2851,1.326563
,,,,,,15.93,347.9354,1.327387,,,,,,,15.93,334.301,1.3274
,,,,,,15.94,347.9799,1.328212,,,,,,,15.94,334.3264,1.328237
,,,,,,15.95,347.9926,1.329062,,,,,,,15.95,334.3519,1.329062
,,,,,,15.96,347.9672,1.329888,,,,,,,15.96,334.3677,1.3299
,,,,,,15.97,347.9449,1.330725,,,,,,,15.97,334.3868,1.330725
,,,,,,15.98,347.9672,1.331575,,,,,,,15.98,334.4313,1.33155
,,,,,,15.99,348.0212,1.332412,,,,,,,15.99,334.4949,1.332375
,,,,,,16,348.0816,1.33325,,,,,,,16,334.5553,1.3332
,,,,,,16.01,348.1165,1.334087,,,,,,,16.01,334.5903,1.334025
,,,,,,16.02,348.1388,1.334925,,,,,,,16.02,334.603,1.334862
,,,,,,16.03,348.1483,1.335737,,,,,,,16.03,334.6189,1.3357
,,,,,,16.04,348.1642,1.336563,,,,,,,16.04,334.6411,1.336563
,,,,,,16.05,348.1928,1.337387,,,,,,,16.05,334.6602,1.3374
,,,,,,16.06,348.2183,1.338212,,,,,,,16.06,334.6761,1.338238
,,,,,,16.07,348.2278,1.33905,,,,,,,16.07,334.6952,1.339075
,,,,,,16.08,348.2342,1.339887,,,,,,,16.08,334.7206,1.3399
,,,,,,16.09,348.2501,1.340737,,,,,,,16.09,334.7556,1.340712
,,,,,,16.1,348.2946,1.341575,,,,,,,16.1,334.7969,1.341575
,,,,,,16.11,348.3454,1.342412,,,,,,,16.11,334.8319,1.3424
,,,,,,16.12,348.3804,1.343238,,,,,,,16.12,334.8636,1.343238
,,,,,,16.13,348.4122,1.344062,,,,,,,16.13,334.9018,1.344075
,,,,,,16.14,348.4503,1.344875,,,,,,,16.14,334.9527,1.344912
,,,,,,16.15,348.5012,1.345725,,,,,,,16.15,334.9845,1.345737
,,,,,,16.16,348.5584,1.34655,,,,,,,16.16,334.9972,1.346575
,,,,,,16.17,348.6029,1.347375,,,,,,,16.17,335.0194,1.3474
,,,,,,16.18,348.6284,1.348212,,,,,,,16.18,335.048,1.348225
,,,,,,16.19,348.6538,1.34905,,,,,,,16.19,335.083,1.34905
,,,,,,16.2,348.6729,1.349887,,,,,,,16.2,335.1084,1.349862
,,,,,,16.21,348.6888,1.350725,,,,,,,16.21,335.1307,1.350688
,,,,,,16.22,348.7047,1.35155,,,,,,,16.22,335.1466,1.351512
,,,,,,16.23,348.7142,1.352375,,,,,,,16.23,335.1815,1.35235
,,,,,,16.24,348.7301,1.353212,,,,,,,16.24,335.2165,1.3532
,,,,,,16.25,348.7396,1.354038,,,,,,,16.25,335.2419,1.354038
,,,,,,16.26,348.7555,1.354862,,,,,,,16.26,335.2547,1.354887
,,,,,,16.27,348.765,1.3557,,,,,,,16.27,335.2865,1.355725
,,,,,,16.28,348.7905,1.356537,,,,,,,16.28,335.331,1.35655
,,,,,,16.29,348.8159,1.357387,,,,,,,16.29,335.3787,1.357375
,,,,,,16.3,348.8254,1.358225,,,,,,,16.3,335.4232,1.358225
,,,,,,16.31,348.8413,1.359075,,,,,,,16.31,335.4677,1.359062
,,,,,,16.32,348.8668,1.359913,,,,,,,16.32,335.5154,1.3599
,,,,,,16.33,348.8954,1.360737,,,,,,,16.33,335.5535,1.360737
,,,,,,16.34,348.9208,1.361562,,,,,,,16.34,335.5789,1.361575
,,,,,,16.35,348.9558,1.3624,,,,,,,16.35,335.5757,1.362425
,,,,,,16.36,348.9876,1.363225,,,,,,,16.36,335.5694,1.36325
,,,,,,16.37,348.9971,1.364062,,,,,,,16.37,335.5884,1.364087
,,,,,,16.38,349.013,1.3649,,,,,,,16.38,335.6298,1.364913
,,,,,,16.39,349.0575,1.365737,,,,,,,16.39,335.6711,1.365725
,,,,,,16.4,349.0988,1.366575,,,,,,,16.4,335.6902,1.366537
,,,,,,16.41,349.1179,1.367412,,,,,,,16.41,335.687,1.367375
,,,,,,16.42,349.1179,1.368237,,,,,,,16.42,335.6902,1.3682
,,,,,,16.43,349.1274,1.369062,,,,,,,16.43,335.7156,1.36905
,,,,,,16.44,349.1433,1.369875,,,,,,,16.44,335.7474,1.369887
,,,,,,16.45,349.1688,1.370713,,,,,,,16.45,335.7665,1.370737
,,,,,,16.46,349.1942,1.371537,,,,,,,16.46,335.7951,1.371562
,,,,,,16.47,349.2228,1.372362,,,,,,,16.47,335.8682,1.3724
,,,,,,16.48,349.2546,1.3732,,,,,,,16.48,335.9636,1.373225
,,,,,,16.49,349.2832,1.374062,,,,,,,16.49,336.0144,1.374038
,,,,,,16.5,349.3087,1.374913,,,,,,,16.5,336.0081,1.374887
,,,,,,16.51,349.3436,1.375737,,,,,,,16.51,335.989,1.375725
,,,,,,16.52,349.3913,1.376575,,,,,,,16.52,335.9922,1.376562
,,,,,,16.53,349.4326,1.377412,,,,,,,16.53,336.0176,1.377388
,,,,,,16.54,349.4708,1.378225,,,,,,,16.54,336.0589,1.378237
,,,,,,16.55,349.5216,1.379062,,,,,,,16.55,336.1098,1.379075
,,,,,,16.56,349.563,1.3799,,,,,,,16.56,336.1543,1.379912
,,,,,,16.57,349.5661,1.38075,,,,,,,16.57,336.1893,1.380737
,,,,,,16.58,349.5471,1.381575,,,,,,,16.58,336.2115,1.381562
,,,,,,16.59,349.5312,1.382425,,,,,,,16.59,336.2306,1.382375
,,,,,,16.6,349.5407,1.38325,,,,,,,16.6,336.256,1.383212
,,,,,,16.61,349.582,1.384087,,,,,,,16.61,336.3005,1.384037
,,,,,,16.62,349.6265,1.384912,,,,,,,16.62,336.3514,1.384875
,,,,,,16.63,349.6647,1.385737,,,,,,,16.63,336.3927,1.385713
,,,,,,16.64,349.6933,1.386562,,,,,,,16.64,336.4245,1.38655
,,,,,,16.65,349.7028,1.387388,,,,,,,16.65,336.4468,1.3874
,,,,,,16.66,349.7251,1.3882,,,,,,,16.66,336.4785,1.388237
,,,,,,16.67,349.7537,1.389037,,,,,,,16.67,336.504,1.389063
,,,,,,16.68,349.7632,1.389875,,,,,,,16.68,336.5199,1.389887
,,,,,,16.69,349.7632,1.390725,,,,,,,16.69,336.5453,1.390712
,,,,,,16.7,349.7696,1.391562,,,,,,,16.7,336.5739,1.39155
,,,,,,16.71,349.795,1.3924,,,,,,,16.71,336.6057,1.392388
,,,,,,16.72,349.8236,1.393237,,,,,,,16.72,336.6248,1.393212
,,,,,,16.73,349.865,1.394063,,,,,,,16.73,336.6439,1.394063
,,,,,,16.74,349.8999,1.394887,,,,,,,16.74,336.682,1.394887
,,,,,,16.75,349.9317,1.395737,,,,,,,16.75,336.7265,1.395725
,,,,,,16.76,349.9667,1.396562,,,,,,,16.76,336.7615,1.396562
,,,,,,16.77,350.0016,1.3974,,,,,,,16.77,336.7869,1.3974
,,,,,,16.78,350.0271,1.398237,,,,,,,16.78,336.7964,1.398225
,,,,,,16.79,350.0334,1.399075,,,,,,,16.79,336.7964,1.39905
,,,,,,16.8,350.0366,1.399912,,,,,,,16.8,336.7933,1.399875
,,,,,,16.81,350.0684,1.400738,,,,,,,16.81,336.8123,1.4007
,,,,,,16.82,350.0938,1.401575,,,,,,,16.82,336.8537,1.401537
,,,,,,16.83,350.1193,1.4024,,,,,,,16.83,336.8982,1.402375
,,,,,,16.84,350.1447,1.403225,,,,,,,16.84,336.949,1.403225
,,,,,,16.85,350.1701,1.404037,,,,,,,16.85,337.019,1.404075
,,,,,,16.86,350.1829,1.404863,,,,,,,16.86,337.0889,1.404912
,,,,,,16.87,350.2051,1.405687,,,,,,,16.87,337.1493,1.40575
,,,,,,16.88,350.2592,1.406537,,,,,,,16.88,337.2002,1.406575
,,,,,,16.89,350.3036,1.407387,,,,,,,16.89,337.2479,1.407387
,,,,,,16.9,350.3036,1.408237,,,,,,,16.9,337.2765,1.408225
,,,,,,16.91,350.275,1.409075,,,,,,,16.91,337.2955,1.409063
,,,,,,16.92,350.2592,1.4099,,,,,,,16.92,337.3019,1.4099
,,,,,,16.93,350.2846,1.410725,,,,,,,16.93,337.2924,1.41075
,,,,,,16.94,350.345,1.41155,,,,,,,16.94,337.2828,1.411587
,,,,,,16.95,350.4054,1.412387,,,,,,,16.95,337.2955,1.412412
,,,,,,16.96,350.4721,1.413237,,,,,,,16.96,337.3464,1.41325
,,,,,,16.97,350.5262,1.414063,,,,,,,16.97,337.3877,1.414075
,,,,,,16.98,350.5612,1.4149,,,,,,,16.98,337.4068,1.4149
,,,,,,16.99,350.577,1.41575,,,,,,,16.99,337.4386,1.415725
,,,,,,17,350.5866,1.416587,,,,,,,17,337.4735,1.41655
,,,,,,17.01,350.6088,1.417425,,,,,,,17.01,337.4894,1.417375
,,,,,,17.02,350.6342,1.41825,,,,,,,17.02,337.4831,1.418212
,,,,,,17.03,350.6629,1.419075,,,,,,,17.03,337.499,1.419075
,,,,,,17.04,350.6978,1.4199,,,,,,,17.04,337.5562,1.419912
,,,,,,17.05,350.7296,1.420712,,,,,,,17.05,337.6293,1.42075
,,,,,,17.06,350.7582,1.421538,,,,,,,17.06,337.6961,1.421587
,,,,,,17.07,350.7741,1.422375,,,,,,,17.07,337.7469,1.422425
,,,,,,17.08,350.7837,1.423212,,,,,,,17.08,337.7883,1.42325
,,,,,,17.09,350.7996,1.42405,,,,,,,17.09,337.8264,1.424062
,,,,,,17.1,350.8091,1.4249,,,,,,,17.1,337.8614,1.424912
,,,,,,17.11,350.8314,1.425738,,,,,,,17.11,337.8932,1.425738
,,,,,,17.12,350.86,1.426562,,,,,,,17.12,337.9281,1.426575
,,,,,,17.13,350.9013,1.427387,,,,,,,17.13,337.9631,1.427413
,,,,,,17.14,350.9458,1.428213,,,,,,,17.14,337.979,1.428237
,,,,,,17.15,350.9935,1.42905,,,,,,,17.15,337.9949,1.429075
,,,,,,17.16,351.0221,1.429887,,,,,,,17.16,338.0457,1.4299
,,,,,,17.17,351.0316,1.430725,,,,,,,17.17,338.1061,1.430725
,,,,,,17.18,351.0284,1.431562,,,,,,,17.18,338.1411,1.43155
,,,,,,17.19,351.038,1.4324,,,,,,,17.19,338.1348,1.432375
,,,,,,17.2,351.0666,1.433237,,,,,,,17.2,338.1252,1.4332
,,,,,,17.21,351.1047,1.434062,,,,,,,17.21,338.1348,1.434025
,,,,,,17.22,351.127,1.4349,,,,,,,17.22,338.1697,1.43485
,,,,,,17.23,351.127,1.435725,,,,,,,17.23,338.2206,1.4357
,,,,,,17.24,351.1334,1.436562,,,,,,,17.24,338.281,1.436538
,,,,,,17.25,351.1524,1.437387,,,,,,,17.25,338.3223,1.437387
,,,,,,17.26,351.2001,1.438213,,,,,,,17.26,338.3287,1.438225
,,,,,,17.27,351.2351,1.43905,,,,,,,17.27,338.3223,1.439062
,,,,,,17.28,351.2446,1.439875,,,,,,,17.28,338.3382,1.439887
,,,,,,17.29,351.2446,1.440737,,,,,,,17.29,338.3573,1.440712
,,,,,,17.3,351.2764,1.441575,,,,,,,17.3,338.3827,1.441562
,,,,,,17.31,351.3241,1.442412,,,,,,,17.31,338.424,1.4424
,,,,,,17.32,351.3718,1.44325,,,,,,,17.32,338.4781,1.443225
,,,,,,17.33,351.4163,1.444075,,,,,,,17.33,338.5449,1.444075
,,,,,,17.34,351.4671,1.444888,,,,,,,17.34,338.6053,1.444912
,,,,,,17.35,351.5021,1.445725,,,,,,,17.35,338.6497,1.44575
,,,,,,17.36,351.518,1.446562,,,,,,,17.36,338.6815,1.446587
,,,,,,17.37,351.5339,1.447387,,,,,,,17.37,338.7006,1.447425
,,,,,,17.38,351.5371,1.448225,,,,,,,17.38,338.7229,1.448237
,,,,,,17.39,351.5339,1.44905,,,,,,,17.39,338.7419,1.44905
,,,,,,17.4,351.5434,1.449888,,,,,,,17.4,338.7769,1.449875
,,,,,,17.41,351.572,1.450725,,,,,,,17.41,338.8214,1.4507
,,,,,,17.42,351.607,1.451562,,,,,,,17.42,338.8564,1.451525
,,,,,,17.43,351.6293,1.452387,,,,,,,17.43,338.8691,1.452375
,,,,,,17.44,351.6451,1.453212,,,,,,,17.44,338.8564,1.453212
,,,,,,17.45,351.6801,1.454037,,,,,,,17.45,338.8564,1.454062
,,,,,,17.46,351.731,1.454862,,,,,,,17.46,338.8818,1.454888
,,,,,,17.47,351.7691,1.455687,,,,,,,17.47,338.9295,1.455725
,,,,,,17.48,351.7787,1.456525,,,,,,,17.48,338.9803,1.45655
,,,,,,17.49,351.7787,1.457387,,,,,,,17.49,339.0153,1.457375
,,,,,,17.5,351.7946,1.458225,,,,,,,17.5,339.0503,1.458212
,,,,,,17.51,351.8423,1.459075,,,,,,,17.51,339.0916,1.459062
,,,,,,17.52,351.8963,1.459912,,,,,,,17.52,339.1266,1.4599
,,,,,,17.53,351.9408,1.460737,,,,,,,17.53,339.152,1.460737
,,,,,,17.54,351.9758,1.46155,,,,,,,17.54,339.187,1.461575
,,,,,,17.55,352.0012,1.4624,,,,,,,17.55,339.2379,1.462412
,,,,,,17.56,352.0075,1.463225,,,,,,,17.56,339.276,1.46325
,,,,,,17.57,352.0139,1.464062,,,,,,,17.57,339.3141,1.464087
,,,,,,17.58,352.0171,1.464912,,,,,,,17.58,339.3586,1.464912
,,,,,,17.59,352.0425,1.46575,,,,,,,17.59,339.4095,1.465725
,,,,,,17.6,352.0679,1.466587,,,,,,,17.6,339.4381,1.46655
,,,,,,17.61,352.087,1.467412,,,,,,,17.61,339.4636,1.467375
,,,,,,17.62,352.1093,1.468238,,,,,,,17.62,339.4985,1.468212
,,,,,,17.63,352.1474,1.469062,,,,,,,17.63,339.5399,1.46905
,,,,,,17.64,352.1856,1.469875,,,,,,,17.64,339.5557,1.4699
,,,,,,17.65,352.211,1.470712,,,,,,,17.65,339.5399,1.470737
,,,,,,17.66,352.2237,1.471525,,,,,,,17.66,339.5399,1.471575
,,,,,,17.67,352.2301,1.47235,,,,,,,17.67,339.5748,1.4724
,,,,,,17.68,352.2332,1.473187,,,,,,,17.68,339.6193,1.473225
,,,,,,17.69,352.2587,1.474037,,,,,,,17.69,339.6702,1.474037
,,,,,,17.7,352.2968,1.474875,,,,,,,17.7,339.7115,1.474887
,,,,,,17.71,352.3254,1.475725,,,,,,,17.71,339.7433,1.475712
,,,,,,17.72,352.3572,1.476563,,,,,,,17.72,339.7465,1.476537
,,,,,,17.73,352.3954,1.477387,,,,,,,17.73,339.7465,1.477375
,,,,,,17.74,352.4367,1.478212,,,,,,,17.74,339.7624,1.478212
,,,,,,17.75,352.4685,1.479062,,,,,,,17.75,339.8069,1.47905
,,,,,,17.76,352.478,1.4799,,,,,,,17.76,339.8673,1.479887
,,,,,,17.77,352.4717,1.480737,,,,,,,17.77,339.9182,1.480725
,,,,,,17.78,352.4875,1.481575,,,,,,,17.78,339.9436,1.48155
,,,,,,17.79,352.513,1.482425,,,,,,,17.79,339.9658,1.482375
,,,,,,17.8,352.5416,1.483262,,,,,,,17.8,339.9849,1.4832
,,,,,,17.81,352.5734,1.484087,,,,,,,17.81,340.0135,1.484025
,,,,,,17.82,352.5988,1.484937,,,,,,,17.82,340.0358,1.484862
,,,,,,17.83,352.6243,1.48575,,,,,,,17.83,340.0389,1.4857
,,,,,,17.84,352.6592,1.486575,,,,,,,17.84,340.0548,1.48655
,,,,,,17.85,352.7133,1.487387,,,,,,,17.85,340.0962,1.4874
,,,,,,17.86,352.7641,1.488212,,,,,,,17.86,340.147,1.488238
,,,,,,17.87,352.7864,1.489038,,,,,,,17.87,340.1725,1.489075
,,,,,,17.88,352.7864,1.489887,,,,,,,17.88,340.1852,1.4899
,,,,,,17.89,352.7991,1.490737,,,,,,,17.89,340.201,1.490712
,,,,,,17.9,352.8309,1.491575,,,,,,,17.9,340.2328,1.491562
,,,,,,17.91,352.8627,1.492412,,,,,,,17.91,340.271,1.492387
,,,,,,17.92,352.8817,1.49325,,,,,,,17.92,340.3028,1.493225
,,,,,,17.93,352.9008,1.494075,,,,,,,17.93,340.3091,1.494062
,,,,,,17.94,352.9104,1.494887,,,,,,,17.94,340.3028,1.4949
,,,,,,17.95,352.9231,1.495725,,,,,,,17.95,340.3123,1.495737
,,,,,,17.96,352.9326,1.496562,,,,,,,17.96,340.3346,1.496562
,,,,,,17.97,352.958,1.497387,,,,,,,17.97,340.3632,1.4974
,,,,,,17.98,353.0026,1.498225,,,,,,,17.98,340.3982,1.498212
,,,,,,17.99,353.0566,1.499075,,,,,,,17.99,340.4236,1.49905
,,,,,,18,353.0947,1.499913,,,,,,,18,340.4299,1.499862
,,,,,,18.01,353.0979,1.500737,,,,,,,18.01,340.4395,1.5007
,,,,,,18.02,353.1043,1.501575,,,,,,,18.02,340.4681,1.501525
,,,,,,18.03,353.1234,1.502387,,,,,,,18.03,340.4999,1.502375
,,,,,,18.04,353.1583,1.503212,,,,,,,18.04,340.5158,1.503225
,,,,,,18.05,353.1901,1.504037,,,,,,,18.05,340.5349,1.504075
,,,,,,18.06,353.2155,1.504862,,,,,,,18.06,340.5667,1.5049
,,,,,,18.07,353.2346,1.5057,,,,,,,18.07,340.6048,1.505737
,,,,,,18.08,353.2505,1.506537,,,,,,,18.08,340.6397,1.506562
,,,,,,18.09,353.2791,1.507388,,,,,,,18.09,340.662,1.507388
,,,,,,18.1,353.3109,1.508237,,,,,,,18.1,340.6811,1.508225
,,,,,,18.11,353.3363,1.509062,,,,,,,18.11,340.7319,1.509075
,,,,,,18.12,353.3649,1.5099,,,,,,,18.12,340.7923,1.509912
,,,,,,18.13,353.4126,1.510725,,,,,,,18.13,340.8273,1.510737
,,,,,,18.14,353.4635,1.511537,,,,,,,18.14,340.8369,1.511575
,,,,,,18.15,353.4921,1.512388,,,,,,,18.15,340.8432,1.512412
,,,,,,18.16,353.4921,1.513225,,,,,,,18.16,340.8591,1.51325
,,,,,,18.17,353.473,1.51405,,,,,,,18.17,340.8686,1.514075
,,,,,,18.18,353.4635,1.514887,,,,,,,18.18,340.8782,1.514912
,,,,,,18.19,353.4889,1.515725,,,,,,,18.19,340.8845,1.515725
,,,,,,18.2,353.5143,1.516562,,,,,,,18.2,340.875,1.51655
,,,,,,18.21,353.5334,1.5174,,,,,,,18.21,340.8495,1.517362
,,,,,,18.22,353.5525,1.518237,,,,,,,18.22,340.8273,1.5182
,,,,,,18.23,353.5938,1.519063,,,,,,,18.23,340.8178,1.51905
,,,,,,18.24,353.6352,1.519887,,,,,,,18.24,340.8082,1.519887
,,,,,,18.25,353.6542,1.520712,,,,,,,18.25,340.7987,1.520725
,,,,,,18.26,353.6606,1.521537,,,,,,,18.26,340.7987,1.521575
,,,,,,18.27,353.6797,1.522362,,,,,,,18.27,340.8369,1.5224
,,,,,,18.28,353.7083,1.5232,,,,,,,18.28,340.8972,1.523225
,,,,,,18.29,353.7337,1.52405,,,,,,,18.29,340.9481,1.52405
,,,,,,18.3,353.7464,1.5249,,,,,,,18.3,340.9735,1.524887
,,,,,,18.31,353.7591,1.525737,,,,,,,18.31,340.9958,1.525725
,,,,,,18.32,353.8004,1.526575,,,,,,,18.32,341.0212,1.526562
,,,,,,18.33,353.8608,1.5274,,,,,,,18.33,341.0498,1.5274
,,,,,,18.34,353.9117,1.528225,,,,,,,18.34,341.0848,1.528237
,,,,,,18.35,353.9435,1.529063,,,,,,,18.35,341.1166,1.529075
,,,,,,18.36,353.9435,1.529887,,,,,,,18.36,341.1325,1.529912
,,,,,,18.37,353.9213,1.530725,,,,,,,18.37,341.142,1.530725
,,,,,,18.38,353.9117,1.531562,,,,,,,18.38,341.1611,1.53155
,,,,,,18.39,353.9467,1.5324,,,,,,,18.39,341.2024,1.532375
,,,,,,18.4,354.0134,1.53325,,,,,,,18.4,341.2437,1.5332
,,,,,,18.41,354.0929,1.534075,,,,,,,18.41,341.2819,1.534025
,,,,,,18.42,354.1756,1.5349,,,,,,,18.42,341.3137,1.53485
,,,,,,18.43,354.2201,1.535725,,,,,,,18.43,341.3328,1.5357
,,,,,,18.44,354.2105,1.536562,,,,,,,18.44,341.3423,1.53655
,,,,,,18.45,354.1692,1.537375,,,,,,,18.45,341.3423,1.537387
,,,,,,18.46,354.1501,1.5382,,,,,,,18.46,341.3296,1.538225
,,,,,,18.47,354.1501,1.539037,,,,,,,18.47,341.3137,1.539063
,,,,,,18.48,354.166,1.539875,,,,,,,18.48,341.3169,1.539887
,,,,,,18.49,354.1883,1.540725,,,,,,,18.49,341.355,1.540712
,,,,,,18.5,354.2201,1.541575,,,,,,,18.5,341.39,1.54155
,,,,,,18.51,354.2646,1.542413,,,,,,,18.51,341.4154,1.5424
,,,,,,18.52,354.3154,1.54325,,,,,,,18.52,341.4408,1.543237
,,,,,,18.53,354.3504,1.544075,,,,,,,18.53,341.4631,1.544075
,,,,,,18.54,354.3727,1.5449,,,,,,,18.54,341.4854,1.544912
,,,,,,18.55,354.3854,1.545738,,,,,,,18.55,341.4949,1.54575
,,,,,,18.56,354.4235,1.546562,,,,,,,18.56,341.5044,1.546587
,,,,,,18.57,354.4585,1.5474,,,,,,,18.57,341.5394,1.547413
,,,,,,18.58,354.4839,1.548237,,,,,,,18.58,341.5902,1.548237
,,,,,,18.59,354.5093,1.549075,,,,,,,18.59,341.6379,1.549062
,,,,,,18.6,354.5348,1.549912,,,,,,,18.6,341.6506,1.549887
,,,,,,18.61,354.5539,1.550738,,,,,,,18.61,341.6665,1.550712
,,,,,,18.62,354.5634,1.551562,,,,,,,18.62,341.6983,1.551538
,,,,,,18.63,354.5729,1.552387,,,,,,,18.63,341.7079,1.552375
,,,,,,18.64,354.5825,1.5532,,,,,,,18.64,341.6856,1.553225
,,,,,,18.65,354.5984,1.554025,,,,,,,18.65,341.6665,1.554062
,,,,,,18.66,354.6079,1.554862,,,,,,,18.66,341.6729,1.5549
,,,,,,18.67,354.5984,1.555687,,,,,,,18.67,341.7079,1.555725
,,,,,,18.68,354.5793,1.556525,,,,,,,18.68,341.746,1.55655
,,,,,,18.69,354.5825,1.557362,,,,,,,18.69,341.7937,1.557375
,,,,,,18.7,354.6333,1.558213,,,,,,,18.7,341.8318,1.558213
,,,,,,18.71,354.6906,1.55905,,,,,,,18.71,341.8636,1.55905
,,,,,,18.72,354.7287,1.559887,,,,,,,18.72,341.8827,1.559887
,,,,,,18.73,354.7541,1.560725,,,,,,,18.73,341.8954,1.560725
,,,,,,18.74,354.7764,1.56155,,,,,,,18.74,341.924,1.561562
,,,,,,18.75,354.7955,1.5624,,,,,,,18.75,341.9685,1.5624
,,,,,,18.76,354.8209,1.563225,,,,,,,18.76,342.0003,1.563237
,,,,,,18.77,354.84,1.564062,,,,,,,18.77,342.0067,1.564075
,,,,,,18.78,354.8527,1.564912,,,,,,,18.78,342.0194,1.5649
,,,,,,18.79,354.8622,1.56575,,,,,,,18.79,342.0512,1.565712
,,,,,,18.8,354.8781,1.566587,,,,,,,18.8,342.0798,1.56655
,,,,,,18.81,354.9067,1.567412,,,,,,,18.81,342.1021,1.567375
,,,,,,18.82,354.9417,1.56825,,,,,,,18.82,342.0925,1.5682
,,,,,,18.83,354.9735,1.569075,,,,,,,18.83,342.0703,1.56905
,,,,,,18.84,354.9767,1.5699,,,,,,,18.84,342.0766,1.5699
,,,,,,18.85,354.9639,1.570712,,,,,,,18.85,342.1211,1.57075
,,,,,,18.86,354.9735,1.571537,,,,,,,18.86,342.1974,1.571575
,,,,,,18.87,354.9989,1.572362,,,,,,,18.87,342.2674,1.572412
,,,,,,18.88,355.037,1.5732,,,,,,,18.88,342.3087,1.573237
,,,,,,18.89,355.0752,1.57405,,,,,,,18.89,342.3087,1.57405
,,,,,,18.9,355.0974,1.5749,,,,,,,18.9,342.3023,1.574888
,,,,,,18.91,355.1197,1.575737,,,,,,,18.91,342.3087,1.575725
,,,,,,18.92,355.1547,1.576562,,,,,,,18.92,342.3278,1.57655
,,,,,,18.93,355.1992,1.577387,,,,,,,18.93,342.3437,1.577387
,,,,,,18.94,355.2405,1.578212,,,,,,,18.94,342.3532,1.578225
,,,,,,18.95,355.2659,1.57905,,,,,,,18.95,342.3627,1.579062
,,,,,,18.96,355.2818,1.5799,,,,,,,18.96,342.385,1.579888
,,,,,,18.97,355.2818,1.580737,,,,,,,18.97,342.4041,1.580725
,,,,,,18.98,355.2596,1.581575,,,,,,,18.98,342.4295,1.58155
,,,,,,18.99,355.2469,1.582425,,,,,,,18.99,342.4644,1.582375
,,,,,,19,355.2596,1.583262,,,,,,,19,342.4962,1.5832
,,,,,,19.01,355.2914,1.5841,,,,,,,19.01,342.5217,1.584025
,,,,,,19.02,355.32,1.584925,,,,,,,19.02,342.5503,1.584862
,,,,,,19.03,355.3613,1.58575,,,,,,,19.03,342.5916,1.5857
,,,,,,19.04,355.4122,1.586575,,,,,,,19.04,342.6329,1.58655
,,,,,,19.05,355.4376,1.587387,,,,,,,19.05,342.6584,1.5874
,,,,,,19.06,355.4567,1.588212,,,,,,,19.06,342.6711,1.588237
,,,,,,19.07,355.4789,1.58905,,,,,,,19.07,342.687,1.589075
,,,,,,19.08,355.5075,1.5899,,,,,,,19.08,342.7188,1.5899
,,,,,,19.09,355.5489,1.590737,,,,,,,19.09,342.7537,1.590725
