"C35",,
"Temps","Force","Stroke"
"sec","N","mm"
"2.89","1.042684","0.240725"
"2.9","1.029968","0.241575"
"2.91","1.042684","0.2424125"
"2.92","1.08401","0.24325"
"2.93","1.115799","0.244075"
"2.94","1.128515","0.2449"
"2.95","1.14123","0.245725"
"2.96","1.160304","0.2465625"
"2.97","1.176198","0.2474125"
"2.98","1.176198","0.24825"
"2.99","1.166662","0.249075"
"3","1.160304","0.2499125"
"3.01","1.16984","0.2507625"
"3.02","1.192093","0.2516"
"3.03","1.214345","0.2524125"
"3.04","1.246134","0.25325"
"3.05","1.281103","0.254075"
"3.06","1.312892","0.2548875"
"3.07","1.325607","0.2557125"
"3.08","1.34786","0.25655"
"3.09","1.366933","0.2573875"
"3.1","1.37647","0.2582375"
"3.11","1.37647","0.259075"
"3.12","1.37647","0.259925"
"3.13","1.373291","0.26075"
"3.14","1.357396","0.261575"
"3.15","1.357396","0.2623875"
"3.16","1.373291","0.263225"
"3.17","1.408259","0.2640625"
"3.18","1.452764","0.2649"
"3.19","1.487732","0.265725"
"3.2","1.5227","0.266575"
"3.21","1.544952","0.267425"
"3.22","1.554489","0.26825"
"3.23","1.560847","0.269075"
"3.24","1.57992","0.2699"
"3.25","1.614889","0.270725"
"3.26","1.665751","0.2715625"
"3.27","1.735687","0.272375"
"3.28","1.811981","0.2732125"
"3.29","1.878738","0.2740625"
"3.3","1.916885","0.2749125"
"3.31","1.958211","0.27575"
"3.32","2.002716","0.2766"
"3.33","2.059937","0.277425"
"3.34","2.155304","0.2782375"
"3.35","2.352397","0.2790625"
"3.36","2.63532","0.2799"
"3.37","2.918243","0.28075"
"3.38","3.124873","0.281575"
"3.39","3.302892","0.2824125"
"3.4","3.534953","0.28325"
"3.41","3.846486","0.2840875"
"3.42","4.180273","0.2849125"
"3.43","4.444122","0.2857375"
"3.44","4.68572","0.2865625"
"3.45","5.019506","0.2874"
"3.46","5.44548","0.2882125"
"3.47","5.690257","0.28905"
"3.48","5.509058","0.289875"
"3.49","5.12441","0.2907375"
"3.5","5.076726","0.291575"
"3.51","5.493164","0.292425"
"3.52","6.151199","0.2932625"
"3.53","6.898244","0.2941"
"3.54","7.721583","0.294925"
"3.55","8.662541","0.29575"
"3.56","9.727478","0.2965875"
"3.57","10.83056","0.297425"
"3.58","11.92411","0.2982625"
"3.59","13.18296","0.2991"
"3.6","14.70884","0.2999375"
"3.61","16.41273","0.300775"
"3.62","18.18339","0.3016125"
"3.63","20.00173","0.3024375"
"3.64","21.80735","0.30325"
"3.65","23.54304","0.304075"
"3.66","25.28191","0.3048875"
"3.67","27.08117","0.3057125"
"3.68","28.88362","0.306525"
"3.69","30.60659","0.307375"
"3.7","32.26916","0.308225"
"3.71","33.95081","0.3090625"
"3.72","35.68332","0.3099"
"3.73","37.45715","0.3107375"
"3.74","39.25006","0.3115625"
"3.75","41.0525","0.312375"
"3.76","42.89627","0.313225"
"3.77","44.83223","0.3140625"
"3.78","46.8413","0.3149"
"3.79","48.88852","0.31575"
"3.8","50.97071","0.3165875"
"3.81","53.06562","0.317425"
"3.82","55.17642","0.3182625"
"3.83","57.27768","0.3190875"
"3.84","59.38212","0.3199125"
"3.85","61.49292","0.3207375"
"3.86","63.59418","0.32155"
"3.87","65.62551","0.3223875"
"3.88","67.56464","0.3232125"
"3.89","69.46882","0.3240625"
"3.9","71.41431","0.3249"
"3.91","73.45835","0.32575"
"3.92","75.59141","0.326575"
"3.93","77.7785","0.3274"
"3.94","80.00056","0.328225"
"3.95","82.24487","0.32905"
"3.96","84.5019","0.3299"
"3.97","86.75893","0.330725"
"3.98","89.03822","0.3315625"
"3.99","91.34611","0.3324"
"4","93.68578","0.3332375"
"4.01","96.04136","0.334075"
"4.02","98.41919","0.3349125"
"4.03","100.8511","0.3357375"
"4.04","103.3847","0.336575"
"4.05","106.0422","0.3374"
"4.06","108.7697","0.338225"
"4.07","111.5386","0.33905"
"4.08","114.3773","0.3398875"
"4.09","117.3846","0.340725"
"4.1","120.6207","0.3415875"
"4.11","124.0826","0.342425"
"4.12","127.7447","0.343275"
"4.13","131.5975","0.3441"
"4.14","135.6157","0.344925"
"4.15","139.7355","0.3457375"
"4.16","143.9349","0.346575"
"4.17","148.2074","0.3474125"
"4.18","152.5688","0.34825"
"4.19","157.0797","0.349075"
"4.2","161.8195","0.349925"
"4.21","166.7786","0.35075"
"4.22","171.8871","0.3515875"
"4.23","177.0496","0.3524125"
"4.24","182.2122","0.3532375"
"4.25","187.3525","0.3540625"
"4.26","192.4674","0.3548875"
