S/No;C_1_Temps[s];C_1_Force[kN];C_1_Déform1[mm];C_1_Déplacement[mm];
238;23.8000127999994;-0.0534932613372803;0.00150000001303852;-1.98049855232239;
239;23.90003712;-0.0557797513902187;0.00130000000353903;-1.98878216743469;
240;24.0000614399996;-0.0530944541096687;0.00150000001303852;-1.99664270877838;
241;24.1000857599993;-0.0540781766176224;0.00150000001303852;-2.00512170791626;
242;24.2001100799998;-0.0523234270513058;0.00150000001303852;-2.01356816291809;
243;24.3000115199993;-0.0557797513902187;0.00150000001303852;-2.02207970619202;
244;24.4000358399999;-0.0559126883745193;0.00139999995008111;-2.03067255020142;
245;24.5000601599995;-0.052881758660078;0.00150000001303852;-2.03895616531372;
246;24.6000844799992;-0.0576940216124058;0.0015999999595806;-2.04720735549927;
247;24.7001087999997;-0.0547162666916847;0.00150000001303852;-2.05536079406738;
248;24.8000102399992;-0.0511004216969013;0.00150000001303852;-2.06338405609131;
249;24.9000345599998;-0.0546099171042442;0.00139999995008111;-2.07179808616638;
250;25.0000588799994;-0.053998414427042;0.00150000001303852;-2.08026075363159;
251;25.1000832;-0.0559924468398094;0.00150000001303852;-2.08869075775146;
252;25.2001075199996;-0.0597412288188934;0.00139999995008111;-2.09734892845154;
253;25.30000896;-0.0551682487130165;0.00150000001303852;-2.10563254356384;
254;25.4000332799997;-0.0523500144481659;0.00150000001303852;-2.11380219459534;
255;25.5000575999993;-0.0557797513902187;0.00150000001303852;-2.12190699577332;
256;25.6000819199999;-0.0555670559406281;0.00150000001303852;-2.12993025779724;
257;25.7001062399995;-0.0538388937711716;0.00150000001303852;-2.13836026191711;
258;25.8000076799999;-0.0564710162580013;0.00150000001303852;-2.146888256073;
259;25.9000319999996;-0.0567634738981724;0.0015999999595806;-2.15538334846497;
260;26.0000563199992;-0.0567900612950325;0.00139999995008111;-2.16402506828308;
261;26.1000806399998;-0.0568698234856129;0.00150000001303852;-2.17216229438782;
262;26.2001049599994;-0.0583321154117584;0.00150000001303852;-2.18038082122803;
263;26.3000063999998;-0.0524031892418861;0.00139999995008111;-2.18851804733276;
264;26.4000307199995;-0.0560456216335297;0.0015999999595806;-2.19662284851074;
265;26.50005504;-0.0595285333693028;0.00139999995008111;-2.20503664016724;
266;26.6000793599997;-0.0551416613161564;0.0015999999595806;-2.21348309516907;
267;26.7001036799993;-0.0557265765964985;0.00139999995008111;-2.22191309928894;
268;26.8000051199997;-0.0606717802584171;0.00150000001303852;-2.23044109344482;
269;26.9000294399993;-0.0543174594640732;0.00139999995008111;-2.23861074447632;
270;27.0000537599999;-0.0531210415065289;0.0015999999595806;-2.24679684638977;
271;27.1000780799995;-0.0559658631682396;0.00150000001303852;-2.25509667396545;
272;27.2001023999992;-0.0529881045222282;0.00139999995008111;-2.26315259933472;
273;27.3000038399996;-0.0543972216546535;0.0015999999595806;-2.27168035507202;
274;27.4000281599992;-0.057188868522644;0.00150000001303852;-2.28020811080933;
275;27.5000524799998;-0.053705956786871;0.00139999995008111;-2.28875231742859;
276;27.6000767999994;-0.0539452396333218;0.00150000001303852;-2.29731249809265;
277;27.70010112;-0.0576408505439758;0.00139999995008111;-2.30571007728577;
278;27.8000025599995;-0.0549289658665657;0.00150000001303852;-2.31387996673584;
279;27.90002688;-0.0530944541096687;0.00150000001303852;-2.32209849357605;
280;28.0000511999997;-0.054503571242094;0.0015999999595806;-2.33002424240112;
281;28.1000755199993;-0.0531742163002491;0.0015999999595806;-2.3383891582489;
282;28.2000998399999;-0.0535464361310005;0.00150000001303852;-2.34685182571411;
283;28.3000012799994;-0.0538388937711716;0.00150000001303852;-2.35531449317932;
284;28.4000255999999;-0.0554075315594673;0.00150000001303852;-2.36395621299744;
285;28.5000499199996;-0.0547428540885448;0.00150000001303852;-2.37222361564636;
286;28.6000742399992;-0.0542642846703529;0.00150000001303852;-2.3803608417511;
287;28.7000985599998;-0.0559924468398094;0.00150000001303852;-2.38851428031921;
288;28.8001228799994;-0.0537857189774513;0.00150000001303852;-2.39652132987976;
289;28.9000243199998;-0.0546630918979645;0.00139999995008111;-2.40493535995483;
290;29.0000486399995;-0.0574015639722347;0.00150000001303852;-2.4134955406189;
291;29.10007296;-0.0540515892207623;0.00139999995008111;-2.42200708389282;
292;29.2000972799997;-0.0537325441837311;0.00150000001303852;-2.43058371543884;
293;29.3001215999993;-0.0535730198025703;0.00139999995008111;-2.43865585327148;
294;29.4000230399997;-0.0524297766387463;0.00150000001303852;-2.44679307937622;
295;29.5000473599994;-0.0554872937500477;0.00139999995008111;-2.45493030548096;
296;29.6000716799999;-0.0520043820142746;0.00139999995008111;-2.46306753158569;
297;29.7000959999996;-0.0549289658665657;0.00150000001303852;-2.47149753570557;
298;29.8001203199992;-0.0542908720672131;0.0015999999595806;-2.48010683059692;
299;29.9000217599996;-0.0538654811680317;0.00130000000353903;-2.48848819732666;
300;30.0000460799993;-0.0557797513902187;0.00150000001303852;-2.49708104133606;
301;30.1000703999998;-0.0533337369561195;0.00139999995008111;-2.50526714324951;
302;30.2000947199995;-0.0524829514324665;0.00150000001303852;-2.51366472244263;
303;30.30011904;-0.0544238090515137;0.00139999995008111;-2.5218505859375;
304;30.4000204799995;-0.0536793693900108;0.0015999999595806;-2.52989029884338;
305;30.5000447999992;-0.0526956468820572;0.00139999995008111;-2.53835296630859;
306;30.6000691199997;-0.0543440468609333;0.00150000001303852;-2.5468156337738;
307;30.7000934399994;-0.0527222342789173;0.00139999995008111;-2.55534338951111;
308;30.8001177599999;-0.0525095388293266;0.0015999999595806;-2.56398510932922;
309;30.9000191999994;-0.0553277693688869;0.00150000001303852;-2.57215476036072;
310;31.00004352;-0.0549821369349957;0.00139999995008111;-2.58030843734741;
311;31.1000678399996;-0.0524829514324665;0.00150000001303852;-2.58842921257019;
312;31.2000921599993;-0.0525892972946167;0.00139999995008111;-2.59645247459412;
313;31.3001164799998;-0.0530944541096687;0.00139999995008111;-2.60489892959595;
314;31.4000179199993;-0.05344008654356;0.00150000001303852;-2.61339426040649;
315;31.5000422399999;-0.0508877225220203;0.00150000001303852;-2.62188959121704;
316;31.6000665599995;-0.0545833334326744;0.00139999995008111;-2.63054752349854;
317;31.7000908799992;-0.0519777946174145;0.00150000001303852;-2.63874983787537;
318;31.8001151999997;-0.0532273910939693;0.00150000001303852;-2.6468870639801;
319;31.9000166399992;-0.0583852864801884;0.00150000001303852;-2.6549916267395;
