"CuivreC1",,,,"CuivreC1+N",,,,"AcierC70",,,
"Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1","Temps","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"0.82","455.1411","0.0682125","0.002733866","0.82","481.1128","0.068175","0.003560384","0.82","283.8866","0.068225","0.001589457"
"0.83","459.4358","0.0690375","0.003178914","0.83","483.7545","0.06902499","0.003560384","0.83","286.0991","0.0690625","0.001589457"
"0.84","463.6828","0.0698875","0.003941854","0.84","486.4216","0.069875","0.003560384","0.84","288.2195","0.0698875","0.001589457"
"0.85","467.8917","0.0707125","0.004768372","0.85","489.1078","0.070725","0.003560384","0.85","290.308","0.070725","0.001589457"
"0.86","472.0847","0.07155","0.004768372","0.86","491.8162","0.071575","0.003941854","0.86","292.4188","0.0715625","0.001589457"
"0.87","476.2586","0.0724","0.004768372","0.87","494.531","0.0724","0.004323324","0.87","294.555","0.0724","0.001144409"
"0.88","480.4293","0.0732375","0.004768372","0.88","497.2267","0.073225","0.004323324","0.88","296.6913","0.0732375","0"
"0.89","484.6128","0.074075","0.004323324","0.89","499.9097","0.07405","0.004768372","0.89","298.8021","0.0740625","-0.001653036"
"0.9","488.8153","0.0749125","0.004323324","0.9","502.5577","0.0748875","0.004768372","0.9","300.8906","0.0748875","-0.002034505"
"0.91","493.0305","0.0757375","0.004323324","0.91","505.1486","0.075725","0.005149841","0.91","302.9823","0.07571249","-0.0008265178"
"0.92","497.2076","0.07655","0.005531311","0.92","507.6981","0.0765625","0.005149841","0.92","305.0741","0.0765375","0.0003814697"
"0.93","501.3498","0.07737499","0.006739298","0.93","510.2603","0.0774","0.005149841","0.93","307.1181","0.0773625","0.001144409"
"0.94","505.4347","0.0782","0.007120768","0.94","512.8606","0.07825","0.005149841","0.94","309.1081","0.0782","0.001589457"
"0.95","509.4783","0.079025","0.007502238","0.95","515.4737","0.0791","0.004768372","0.95","311.079","0.07903749","0.001589457"
"0.96","513.4932","0.07985","0.005912781","0.96","518.0613","0.079925","0.005149841","0.96","313.069","0.0799","0.001589457"
"0.97","517.5209","0.0807","0.005149841","0.97","520.6267","0.0807375","0.005149841","0.97","315.0813","0.0807375","0.001144409"
"0.98","521.5613","0.08154999","0.004323324","0.98","523.1921","0.0815625","0.005531311","0.98","317.1158","0.0815875","0.001144409"
"0.99","525.6176","0.0823875","0.004323324","0.99","525.7543","0.0823875","0.005531311","0.99","319.163","0.082425","0.001144409"
"1","529.6993","0.083225","0.004323324","1","528.2752","0.08321249","0.005531311","1","321.2134","0.08325","0.001970927"
