Brut 1,,,Brut 2,,,Recuit,,,Recuit test 250°C,,,Etiré test amb,,,Etiré test 250°C,,
Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse,Temps,Force,Course_Traverse
sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm,sec,N,mm
0.42,0.06357829,0.0349,0.42,-0.003178914,0.0349,0.42,0.06993612,0.0349,0.42,18.99719,0.0348125,0.42,0.03496806,0.0349125,0.42,11.52674,0.034875
0.43,0.0445048,0.035725,0.43,-0.01271566,0.0357375,0.43,0.08583069,0.035725,0.43,19.4327,0.03565,0.43,0.0222524,0.03575,0.43,11.71748,0.035725
0.44,0.05404155,0.036575,0.44,-0.01589457,0.0365875,0.44,0.07311503,0.03655,0.44,19.96358,0.0364875,0.44,0.02861023,0.0365875,0.44,11.88914,0.0365625
0.45,0.08900961,0.0374,0.45,-0.03814697,0.0374375,0.45,0.04768372,0.037375,0.45,20.61844,0.0373375,0.45,0.04768372,0.0374125,0.45,12.03219,0.0374
0.46,0.09536743,0.03825,0.46,-0.03814697,0.0382625,0.46,0.0445048,0.0382125,0.46,21.20654,0.038175,0.46,0.06039937,0.0382375,0.46,12.14345,0.038225
0.47,0.08583069,0.0390875,0.47,-0.01589457,0.0391,0.47,0.04768372,0.0390375,0.47,21.69927,0.0390375,0.47,0.04768372,0.03905,0.47,12.20385,0.0390375
0.48,0.07947286,0.039925,0.48,0.01271566,0.0399125,0.48,0.03814697,0.039875,0.48,22.29055,0.039875,0.48,0.02861023,0.0399,0.48,12.21975,0.0398625
0.49,0.08583069,0.0407625,0.49,0.03496806,0.0407375,0.49,0.01271566,0.0407,0.49,22.96766,0.0407125,0.49,0.01271566,0.0407375,0.49,12.23882,0.0407125
0.5,0.08900961,0.0416,0.5,0.02861023,0.041575,0.5,-0.01589457,0.04155,0.5,23.55576,0.0415375,0.5,-0.003178914,0.041575,0.5,12.26425,0.04155
0.51,0.06993612,0.042425,0.51,0.01271566,0.0424125,0.51,-0.0222524,0.042375,0.51,24.07074,0.0423625,0.51,-0.01271566,0.0424125,0.51,12.27379,0.042375
0.52,0.04768372,0.04325,0.52,0.009536743,0.0432375,0.52,0.003178914,0.0432125,0.52,24.71606,0.0432,0.52,-0.006357829,0.04325,0.52,12.27379,0.0432125
0.53,0.01271566,0.0440625,0.53,0.0222524,0.044075,0.53,0.03496806,0.04405,0.53,25.5394,0.0440375,0.53,0.02861023,0.0440875,0.53,12.29922,0.04405
0.54,-0.01589457,0.0449,0.54,0.03496806,0.0449125,0.54,0.0445048,0.044875,0.54,26.38499,0.0448625,0.54,0.06993612,0.044925,0.54,12.31829,0.044875
